userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
81303: (480,2.8849425315856934) (260,2.8293919563293457) (1196,2.8073318004608154) (2571,2.7987277507781982) (589,2.768075704574585) (1580,2.7548933029174805) (2858,2.7251315116882324) (2916,2.723999500274658) (1270,2.645941734313965) (2762,2.597365379333496) (1197,2.546630620956421) (2716,2.54166841506958) (1240,2.5367379188537598) (3578,2.510267972946167) (1097,2.4874320030212402) (1127,2.4589591026306152) (593,2.453030586242676) (1214,2.4510841369628906) (457,2.4202146530151367) (1200,2.4144790172576904)
81238: (1196,3.4329357147216797)* (260,3.431699275970459)* (589,3.2394280433654785) (2762,3.1494579315185547) (1197,3.11861515045166)* (593,3.114556312561035)* (1097,3.0501742362976074)* (356,3.018160104751587) (1265,2.9810938835144043) (2716,2.972102165222168) (2396,2.97086238861084) (1,2.9422292709350586) (1214,2.9271774291992188)* (527,2.911647081375122)* (3578,2.8811395168304443) (457,2.8560609817504883) (2997,2.8488688468933105) (1259,2.796444892883301)* (50,2.777850866317749) (1291,2.734917640686035)*
81769: (2858,2.8468663692474365) (1196,2.832425594329834) (260,2.81347393989563) (1210,2.7510852813720703) (608,2.6726276874542236) (480,2.6294407844543457) (1270,2.614729642868042)* (593,2.6073410511016846) (589,2.6062674522399902) (2571,2.598923683166504) (1198,2.585453987121582) (2762,2.58514404296875) (1197,2.5702342987060547) (2028,2.526918411254883) (296,2.5162672996520996) (1097,2.5143022537231445) (110,2.510589122772217) (2396,2.498663902282715) (1580,2.489417314529419) (1617,2.4848217964172363)
84504: (608,2.498900890350342)* (1617,2.3376147747039795) (1210,2.287421703338623)* (296,2.27983021736145) (318,2.274707078933716) (1198,2.263899564743042)* (1197,2.2127463817596436) (2762,2.1994452476501465) (1193,2.1965763568878174) (541,2.1917638778686523) (1394,2.186898708343506) (1265,2.1847171783447266) (50,2.143324851989746) (34,2.139312267303467) (1259,2.126009464263916) (2028,2.1185457706451416) (589,2.1164166927337646) (1221,2.1123719215393066)* (1225,2.109506845474243) (1307,2.1027743816375732)
83727: (260,2.9840683937072754) (1210,2.974518060684204) (480,2.9704785346984863) (2858,2.9157907962799072)* (589,2.8776087760925293)* (1580,2.8323452472686768) (2628,2.8176980018615723) (2916,2.7756431102752686) (110,2.728107213973999) (2028,2.720123767852783) (1197,2.7006497383117676) (1240,2.6432929039001465) (356,2.637519598007202) (1097,2.636859893798828) (1,2.5770516395568848) (1214,2.5688648223876953) (1265,2.554629325866699) (296,2.530709743499756) (457,2.5271124839782715)* (1127,2.5248169898986816)
81928: (2858,2.9324846267700195)* (1196,2.8258216381073) (1210,2.647329330444336) (1198,2.6273887157440186) (1270,2.5705137252807617) (1197,2.566044807434082)* (1193,2.5649359226226807) (2997,2.5647099018096924) (541,2.5492539405822754) (1097,2.5163207054138184) (1304,2.466671943664551)* (2028,2.4553160667419434)* (589,2.446397066116333) (924,2.4386651515960693)* (919,2.4089395999908447)* (110,2.408060312271118) (480,2.389072895050049) (1294,2.377511978149414) (1213,2.362382411956787)* (750,2.359020948410034)*
83570: (1210,2.858428955078125) (2571,2.721346855163574)* (593,2.6780571937561035)* (2762,2.6771633625030518) (1197,2.6566390991210938) (1580,2.622476816177368)* (110,2.6162896156311035)* (1097,2.599137306213379)* (296,2.5794293880462646) (356,2.562826156616211) (2396,2.5591890811920166) (1265,2.5525894165039062) (1617,2.5255801677703857) (527,2.5154852867126465) (858,2.50777530670166) (2716,2.5036416053771973) (1,2.49499249458313) (2997,2.4611575603485107) (3578,2.4160046577453613) (457,2.4111571311950684)
82612: (1580,3.210322856903076)* (110,3.0398852825164795)* (1240,2.95615816116333)* (356,2.915757656097412)* (1265,2.779595375061035)* (2355,2.7152533531188965) (1291,2.704270601272583)* (2000,2.6805758476257324)* (3175,2.6455135345458984)* (1527,2.610872507095337)* (1617,2.5454421043395996)* (2797,2.5413658618927)* (1356,2.539273738861084) (1584,2.5187368392944336)* (2683,2.5126800537109375) (588,2.5102710723876953) (3793,2.4995553493499756) (1923,2.4983937740325928) (1676,2.4856629371643066)* (2706,2.472243309020996)
85345: (2858,2.7935919761657715)* (1196,2.7104649543762207) (260,2.6769425868988037) (1210,2.562814235687256) (1617,2.5601537227630615) (2396,2.4956417083740234) (1270,2.4752960205078125) (1197,2.4632582664489746) (2762,2.457273006439209) (2997,2.4287102222442627) (1265,2.4206509590148926) (1097,2.413205623626709) (541,2.402204990386963) (589,2.384873867034912) (1394,2.38169527053833) (1193,2.3780112266540527) (50,2.3638625144958496) (2571,2.352571487426758) (1259,2.346266508102417) (356,2.333277940750122)
84095: (2858,3.2969167232513428)* (1210,3.1497647762298584) (1270,3.0106825828552246)* (480,2.98944091796875) (2571,2.9614133834838867) (2396,2.9123823642730713)* (110,2.87994384765625) (527,2.879560947418213)* (356,2.841756820678711)* (1580,2.8288612365722656)* (2997,2.812359571456909) (541,2.7726221084594727) (1240,2.7640459537506104) (50,2.742053985595703) (2628,2.740091562271118)* (2716,2.7348663806915283)* (1214,2.732341766357422) (2916,2.6914331912994385) (1394,2.6775925159454346) (924,2.6505556106567383)*
81403: (1210,3.0901052951812744)* (2858,3.013132095336914)* (589,2.9913549423217773)* (1580,2.9495773315429688)* (2916,2.8955321311950684)* (1270,2.892045021057129)* (2762,2.8400893211364746) (1197,2.796464443206787)* (1097,2.7323029041290283)* (356,2.73128604888916)* (593,2.7290008068084717)* (3578,2.6957602500915527) (1,2.67348575592041) (1265,2.6372032165527344)* (457,2.622879981994629) (2396,2.590259075164795) (377,2.557992458343506) (1610,2.5163228511810303)* (527,2.508924961090088)* (648,2.501763105392456)
81052: (480,2.013108730316162)* (1210,1.9583747386932373) (2628,1.9408502578735352) (260,1.9375540018081665) (1580,1.925370693206787) (589,1.9175584316253662) (1196,1.9150112867355347) (2916,1.9149622917175293) (1270,1.8173613548278809) (110,1.8009861707687378) (2028,1.7849884033203125) (2762,1.7795438766479492) (2716,1.7660975456237793) (1240,1.7557165622711182) (3578,1.753098964691162) (780,1.7492091655731201) (1197,1.7419607639312744) (1127,1.7197463512420654) (356,1.719394326210022) (1198,1.7091355323791504)
82116: (260,2.6948719024658203)* (480,2.523735284805298) (1270,2.506589889526367) (593,2.4995779991149902)* (2762,2.4755821228027344) (1198,2.4751439094543457) (296,2.411885976791382) (1097,2.409482717514038) (110,2.408261299133301) (2396,2.3923206329345703) (1580,2.3902840614318848) (1617,2.3787407875061035) (356,2.3664588928222656) (858,2.3536839485168457) (2628,2.327296733856201) (2997,2.3057727813720703) (1,2.3026700019836426) (2916,2.288825035095215) (1259,2.2523717880249023) (50,2.2483537197113037)*
80040: (2858,3.03342866897583) (260,2.9923810958862305) (608,2.8595752716064453) (480,2.7805087566375732) (1270,2.7795867919921875) (1198,2.7524728775024414)* (2571,2.751556873321533) (2762,2.747016191482544) (1197,2.733016014099121) (296,2.6884570121765137) (2028,2.6840758323669434) (1097,2.6758694648742676) (2396,2.667788505554199) (110,2.6641838550567627) (1265,2.6395349502563477) (527,2.635819435119629)* (1580,2.631932020187378) (858,2.629927635192871) (318,2.6290531158447266) (356,2.621020555496216)
84605: (2858,1.4175224304199219) (608,1.4040210247039795) (1196,1.3668808937072754) (260,1.3495464324951172) (593,1.3204505443572998) (1210,1.2848072052001953) (296,1.2819926738739014) (858,1.2791721820831299) (318,1.2785345315933228) (527,1.2764167785644531) (1198,1.2708592414855957) (1197,1.2451303005218506) (1270,1.2450015544891357) (2997,1.2422926425933838) (2762,1.2382038831710815) (1193,1.2381318807601929) (541,1.2320873737335205) (1394,1.2320473194122314) (1265,1.2285970449447632) (1097,1.2200820446014404)
83124: (2858,3.700188159942627) (1270,3.451798439025879)* (2762,3.404449462890625) (593,3.3706676959991455)* (2028,3.3481545448303223)* (2916,3.2622861862182617) (296,3.2435522079467773) (1265,3.2273945808410645)* (2716,3.19940447807312) (527,3.1633148193359375) (1617,3.1551008224487305) (858,3.138765335083008) (2997,3.0914041996002197) (2987,3.03255295753479) (1259,3.0296621322631836) (541,3.028580665588379) (50,3.0121829509735107) (1127,2.99875545501709) (1291,2.946706771850586)* (924,2.8996572494506836)
81648: (608,1.9107086658477783)* (1196,1.8136482238769531) (260,1.787833333015442) (1617,1.7877068519592285) (593,1.7740895748138428) (858,1.7332464456558228) (318,1.730584979057312) (296,1.7229952812194824) (1193,1.7112441062927246)* (2396,1.707284688949585) (1198,1.69512939453125) (1394,1.684425711631775) (1210,1.6830458641052246) (2997,1.6729309558868408) (912,1.6712312698364258) (1230,1.6668230295181274) (541,1.6660537719726562) (1225,1.6584081649780273) (1304,1.6514217853546143) (1197,1.645033359527588)
84075: (1196,3.4582860469818115)* (1210,3.4261980056762695)* (480,3.3711650371551514)* (589,3.2944722175598145)* (1270,3.233360767364502)* (2628,3.1654114723205566)* (2028,3.1430346965789795) (593,3.1249239444732666)* (1,2.9807400703430176) (1214,2.9675750732421875)* (457,2.902768611907959) (1259,2.8041224479675293) (541,2.7921838760375977)* (780,2.7870779037475586)* (1291,2.7816290855407715)* (2000,2.7335667610168457)* (2355,2.7258620262145996)* (1036,2.713900089263916) (3175,2.654766082763672)* (3114,2.6333558559417725)
82342: (480,3.4564208984375)* (2571,3.330484390258789)* (2916,3.2981948852539062)* (2762,3.0292959213256836) (2716,3.0215327739715576)* (3578,3.0041441917419434) (1198,2.903334140777588)* (457,2.8613686561584473) (593,2.8037919998168945) (2355,2.7870278358459473) (1265,2.747138500213623) (3527,2.7296414375305176)* (2000,2.729335308074951)* (1544,2.6719439029693604)* (296,2.663522720336914) (608,2.64542293548584) (2396,2.641904354095459) (2710,2.6385905742645264) (2683,2.6205265522003174) (3623,2.5953779220581055)
80242: (2858,2.773237705230713) (1196,2.74936580657959) (260,2.7321739196777344) (1210,2.663604974746704) (608,2.619025468826294) (593,2.5494942665100098) (1270,2.5391831398010254) (480,2.537809371948242) (589,2.521731376647949) (1198,2.517660140991211)* (2762,2.511878728866577) (2571,2.510254383087158) (1197,2.4996538162231445) (296,2.461305856704712) (2028,2.452528238296509) (1097,2.445758819580078) (2396,2.4439849853515625)* (1617,2.4400906562805176) (110,2.4337239265441895) (527,2.414832592010498)
79718: (2858,2.9121241569519043)* (1196,2.8622679710388184) (260,2.836193799972534)* (593,2.686668872833252) (1198,2.6317343711853027)* (1270,2.629323959350586)* (2762,2.6042211055755615) (296,2.5995800495147705)* (2396,2.5795907974243164)* (480,2.5707924365997314) (527,2.5658674240112305) (2571,2.5587968826293945) (1097,2.5462770462036133) (2028,2.530742645263672) (110,2.502978801727295) (2997,2.4984846115112305)* (541,2.4671084880828857) (50,2.4326066970825195)* (1580,2.426802635192871)* (1259,2.4260425567626953)
81429: (480,2.9179177284240723) (1196,2.860823154449463)* (2858,2.787443161010742) (2628,2.7860841751098633) (1580,2.785292863845825) (2916,2.7470626831054688) (1270,2.6936607360839844) (110,2.6510441303253174)* (2762,2.6463050842285156) (1197,2.5985255241394043) (2716,2.578960418701172) (1240,2.57485294342041) (1198,2.5682199001312256) (356,2.547808885574341) (1097,2.5374250411987305) (593,2.513204574584961)* (1,2.4948339462280273) (1214,2.492413282394409) (1127,2.4850106239318848) (780,2.481172800064087)
84829: (1210,3.449657917022705) (589,3.3029837608337402)* (1197,3.184391498565674) (1198,3.1814937591552734)* (296,3.058967113494873)* (527,2.973682403564453)* (858,2.9610109329223633)* (318,2.9600954055786133)* (3578,2.9429726600646973)* (2997,2.912693977355957) (1200,2.891608238220215)* (1259,2.859093189239502)* (541,2.8557493686676025)* (1291,2.792843818664551)* (2797,2.7455317974090576) (2174,2.739302635192871) (34,2.73201847076416) (2791,2.7127199172973633)* (1968,2.694361686706543) (648,2.693699359893799)*
82367: (1617,2.2371017932891846) (260,2.202779769897461) (527,2.1558051109313965) (296,2.1435649394989014) (1394,2.113703727722168) (1198,2.097883462905884) (2997,2.0842278003692627) (1304,2.083314895629883) (1210,2.0638527870178223) (1294,2.056663751602173) (1307,2.0292108058929443) (1197,2.028672695159912) (50,2.023834228515625) (1270,2.0190742015838623) (750,2.012770414352417) (111,2.004204273223877)* (1259,1.99876070022583) (1097,1.99282968044281) (924,1.9905542135238647) (1136,1.9814598560333252)
79747: (260,3.4252843856811523) (1210,3.365243673324585) (480,3.2481026649475098) (589,3.1998445987701416)* (608,3.1860647201538086)* (1270,3.1823301315307617)* (2028,3.081054449081421) (1580,3.0787277221679688) (1097,3.04740834236145) (296,3.0169060230255127) (2628,3.0146217346191406) (356,2.9998815059661865) (2396,2.9957995414733887) (1265,2.9908084869384766) (2916,2.964383363723755) (1240,2.9582395553588867) (1617,2.9524760246276855) (527,2.95224666595459)* (318,2.9342381954193115) (2716,2.9291253089904785)
80669: (2858,2.840442419052124)* (608,2.8039398193359375)* (1617,2.6189982891082764)* (858,2.5533018112182617) (318,2.5518643856048584)* (527,2.5488386154174805) (2762,2.4800660610198975) (1265,2.4566292762756348) (1193,2.4545202255249023) (1394,2.4451327323913574)* (50,2.4062705039978027) (34,2.3992512226104736) (589,2.3934125900268555) (1259,2.3887288570404053) (1221,2.3632614612579346) (1304,2.35746431350708)* (2571,2.356313705444336) (356,2.3515191078186035) (924,2.35128116607666)* (480,2.3458127975463867)
83242: (2858,2.3924646377563477) (1196,2.3428122997283936) (260,2.324665069580078) (608,2.3039538860321045) (1210,2.248805046081543) (593,2.2156968116760254) (1198,2.1629891395568848) (1270,2.159520387649536) (1617,2.1534624099731445) (296,2.1423027515411377) (1197,2.1384263038635254) (858,2.1142091751098633) (589,2.1139049530029297) (318,2.1119914054870605) (527,2.1112701892852783) (480,2.1075644493103027) (2571,2.0949487686157227) (1097,2.0917999744415283) (1265,2.0841429233551025)* (2028,2.0811376571655273)
81813: (1196,2.96856689453125)* (1210,2.962095260620117)* (2571,2.872159957885742)* (589,2.858548879623413)* (1580,2.8034024238586426)* (2762,2.735337734222412) (1197,2.698805332183838) (1198,2.6806745529174805) (593,2.6519107818603516) (1097,2.6379992961883545)* (356,2.628544330596924) (2716,2.626892328262329) (1,2.569586753845215) (1214,2.5631723403930664)* (1265,2.5567407608032227) (296,2.5430502891540527) (2396,2.5212018489837646) (457,2.5118513107299805) (2987,2.4597909450531006)* (527,2.4510886669158936)
84033: (1210,2.8933091163635254)* (593,2.823624610900879) (2762,2.7420811653137207) (1617,2.737398624420166) (1197,2.7371015548706055) (296,2.731616258621216) (589,2.7187628746032715)* (2396,2.711510419845581) (480,2.711404800415039) (2571,2.6980533599853516) (318,2.691467523574829) (858,2.6873626708984375) (1097,2.6802501678466797) (2028,2.6660726070404053)* (356,2.609494924545288) (1580,2.560835838317871) (1,2.5342273712158203) (1394,2.5235695838928223)* (34,2.5071563720703125) (1214,2.505851984024048)
85341: (1210,3.4804348945617676)* (2858,3.4273672103881836) (2571,3.375737190246582)* (1580,3.2911880016326904) (2628,3.2696707248687744) (1270,3.2591843605041504) (2762,3.2106478214263916) (2028,3.174947738647461)* (593,3.100780487060547) (1240,3.086003541946411)* (356,3.0786960124969482) (2716,3.0747127532958984) (608,3.064829111099243) (1,3.0098049640655518) (3578,3.008294105529785) (1265,2.9953460693359375) (296,2.974440574645996) (2396,2.952971935272217) (1127,2.932791233062744)* (527,2.875375986099243)
82518: (608,1.646948218345642) (1230,1.6024051904678345) (2858,1.5719233751296997) (912,1.543497920036316)* (1247,1.5423784255981445) (1094,1.5410375595092773)* (1193,1.5333220958709717)* (1225,1.5139961242675781) (1294,1.5091381072998047) (1304,1.493419885635376) (593,1.482039451599121) (923,1.4773106575012207) (1394,1.4763991832733154) (318,1.4741897583007812) (1196,1.4637558460235596) (750,1.4623892307281494)* (2289,1.4539921283721924) (260,1.4326739311218262) (2396,1.4292153120040894) (1207,1.4204944372177124)
80841: (1196,2.5515575408935547)* (1210,2.551067352294922)* (480,2.5438036918640137)* (2571,2.4792861938476562) (1580,2.422708034515381)* (1270,2.3928990364074707) (2916,2.3725404739379883) (2762,2.352267265319824) (2028,2.3320226669311523) (1197,2.318599224090576) (1198,2.30023193359375) (593,2.271796226501465) (1240,2.2677531242370605) (1097,2.265493392944336) (2716,2.2642762660980225) (356,2.2602758407592773) (608,2.235513687133789) (3578,2.2177019119262695) (1,2.2105345726013184) (1214,2.2063989639282227)
80109: (2858,2.9400222301483154) (2571,2.92985463142395) (589,2.909031867980957) (1580,2.864915370941162) (2628,2.8532052040100098)* (2916,2.8123278617858887) (2762,2.7676432132720947) (110,2.7564826011657715) (1197,2.724203586578369) (1240,2.673156499862671) (2716,2.6690444946289062) (1097,2.662809371948242) (593,2.6597328186035156) (356,2.6595945358276367) (3578,2.6193645000457764) (608,2.610170841217041) (1,2.6009480953216553) (1214,2.596006393432617) (1265,2.572051525115967) (1127,2.554936408996582)
79561: (480,2.260267496109009) (1210,2.2441539764404297) (260,2.241837978363037) (2571,2.1961092948913574) (589,2.180487632751465) (2628,2.1537680625915527) (2916,2.123697280883789) (1270,2.1002728939056396) (2762,2.063119411468506) (110,2.0622384548187256) (2028,2.0534567832946777) (1197,2.028298854827881) (2716,2.0058627128601074) (1198,2.0053458213806152) (1240,2.001095771789551) (356,1.9886798858642578)* (1097,1.9802294969558716) (593,1.9711183309555054) (1,1.944893479347229)* (1214,1.9396839141845703)
80210: (2858,2.592556953430176) (260,2.5517337322235107)* (608,2.453880548477173) (593,2.3852193355560303) (1270,2.368772506713867) (480,2.3575057983398438)* (1198,2.3510777950286865) (2762,2.3410892486572266) (2571,2.333411693572998)* (296,2.303358554840088) (1617,2.2865779399871826) (2396,2.2844860553741455) (1097,2.2836410999298096) (110,2.26712703704834) (527,2.2614872455596924) (1265,2.2568392753601074) (318,2.2564032077789307) (356,2.2331979274749756) (2997,2.206139087677002) (541,2.176499128341675)
83529: (1196,3.3774213790893555) (1210,3.340333938598633)* (2571,3.2164459228515625)* (1270,3.1395263671875) (2762,3.0966129302978516) (2628,3.0811376571655273) (1197,3.0571517944335938)* (110,3.0533177852630615) (2028,3.051064968109131) (1198,3.0506343841552734) (608,3.028710126876831) (593,3.0279250144958496) (1097,2.9896230697631836) (356,2.9633078575134277) (1240,2.9502224922180176)* (2716,2.9329562187194824) (1265,2.9092743396759033) (296,2.9088029861450195) (1,2.8930277824401855) (2396,2.8884685039520264)
83585: (1196,2.973200798034668)* (1580,2.952481269836426)* (2858,2.876880168914795)* (1270,2.813868999481201)* (1240,2.7080302238464355)* (3578,2.6890909671783447)* (356,2.6595163345336914)* (457,2.5821340084075928)* (1200,2.576969623565674)* (1265,2.5227718353271484)* (2355,2.494405746459961) (608,2.476815700531006)* (1291,2.475041627883911)* (2396,2.4450652599334717) (1036,2.3964462280273438)* (1374,2.382517099380493)* (858,2.3346195220947266)* (1544,2.3302438259124756) (2797,2.3108787536621094)* (1676,2.309633255004883)*
84500: (2858,2.5908660888671875) (260,2.5170133113861084) (1198,2.341806411743164) (1270,2.3357863426208496) (1617,2.3354601860046387) (2762,2.3148608207702637) (1197,2.3120546340942383) (2396,2.3053269386291504) (589,2.2834699153900146) (480,2.272456407546997) (2571,2.2606756687164307) (2997,2.234227180480957) (110,2.2206790447235107) (541,2.207995891571045) (356,2.2055301666259766)* (50,2.1785333156585693) (1394,2.1588633060455322)* (1,2.138108491897583) (1240,2.1251559257507324) (1214,2.1111626625061035)
82244: (260,3.6459174156188965)* (1196,3.637737274169922)* (480,3.6002724170684814)* (2571,3.5167243480682373) (1270,3.395880699157715) (2762,3.3433237075805664) (2028,3.306609630584717) (1197,3.2939233779907227)* (1198,3.2750561237335205) (593,3.2325711250305176)* (1097,3.220767021179199) (356,3.205770492553711) (2716,3.2025208473205566) (1,3.1330156326293945) (3578,3.1292550563812256) (1214,3.1278762817382812) (1265,3.1175031661987305) (2396,3.075974941253662) (457,3.0629940032958984) (1200,3.050612688064575)
85348: (1196,2.6279821395874023) (1270,2.430274486541748) (1198,2.407727003097534) (1197,2.392123222351074) (296,2.356947422027588)* (2028,2.347526788711548) (1097,2.33980131149292) (110,2.327401638031006) (1265,2.312131881713867) (527,2.3079442977905273) (858,2.3078160285949707) (318,2.306244134902954) (356,2.294023036956787) (2997,2.2568960189819336)* (1240,2.235722064971924)* (1,2.229679584503174) (2628,2.2286126613616943) (2716,2.2133917808532715) (34,2.1460423469543457) (1394,2.140347480773926)
83926: (296,2.324432134628296)* (1270,2.273343086242676) (1265,2.232109546661377)* (541,2.229566812515259)* (1193,2.224720001220703) (589,2.179274082183838) (1259,2.1701924800872803) (2571,2.1458733081817627)* (1221,2.1453394889831543) (480,2.1398470401763916)* (924,2.1334571838378906)* (1213,2.0595455169677734) (1094,2.0563526153564453) (590,2.050457239151001)* (1214,2.0408670902252197) (750,2.036069869995117)* (1294,2.028336524963379) (1580,2.0107486248016357)* (111,2.010560989379883) (1247,2.010427713394165)*
83215: (480,2.292752265930176)* (1210,2.223446846008301)* (2628,2.218484878540039)* (1580,2.1988778114318848)* (2916,2.187008857727051) (589,2.1826953887939453) (1270,2.064936876296997) (110,2.045689582824707) (2716,2.013516902923584) (3578,2.004479169845581) (1240,1.995660662651062) (1127,1.9608874320983887) (1198,1.9348305463790894) (377,1.9224523305892944) (1214,1.9194004535675049) (1,1.9189329147338867)* (1200,1.9035550355911255) (1573,1.9032107591629028)* (2699,1.8991470336914062) (648,1.8882594108581543)
84859: (2571,3.4740123748779297) (589,3.4464354515075684) (1580,3.406463146209717)* (1270,3.323899269104004) (2762,3.267014980316162) (110,3.26179575920105)* (356,3.1438138484954834)* (593,3.125447988510132) (608,3.052227735519409) (1127,3.0378003120422363) (1265,3.0281801223754883) (780,3.0171117782592773)* (1200,3.009284496307373) (296,2.989830493927002) (377,2.9571409225463867)* (2987,2.938859462738037) (1291,2.8954122066497803)* (2355,2.8832714557647705)* (527,2.871363401412964) (1573,2.8560218811035156)
84641: (260,2.279090166091919)* (608,2.156365394592285) (1270,2.119699716567993)* (589,2.1151657104492188) (593,2.114168643951416) (2571,2.1073989868164062)* (1198,2.0917763710021973) (1197,2.080202102661133)* (2028,2.0499656200408936) (296,2.0389256477355957) (110,2.037184476852417) (1580,2.0236713886260986)* (1265,2.0071122646331787) (356,2.0009751319885254) (527,1.990471363067627) (858,1.9897358417510986) (318,1.987433671951294) (2997,1.9479477405548096) (1,1.9463170766830444) (2716,1.9425303936004639)
79490: (1196,3.6295278072357178) (260,3.626457691192627) (1210,3.5901243686676025) (589,3.443309783935547) (1270,3.3781442642211914) (1580,3.3509037494659424)* (2628,3.308088779449463) (110,3.2835354804992676)* (1198,3.283505439758301) (608,3.2664260864257812) (593,3.263638496398926) (2916,3.25566029548645)* (1097,3.21810245513916) (356,3.1910629272460938) (1240,3.17171573638916) (296,3.1363182067871094) (1,3.1127352714538574) (1214,3.0977044105529785) (527,3.047577381134033) (457,3.0283877849578857)
82341: (1196,2.879585027694702)* (2628,2.850947380065918)* (2762,2.668621301651001) (2028,2.665173053741455)* (1197,2.617034435272217) (3578,2.5933616161346436) (356,2.575516700744629)* (1097,2.5548219680786133) (1127,2.5385582447052) (1214,2.5239362716674805)* (593,2.515359878540039) (1200,2.488157272338867) (377,2.475637674331665) (1265,2.450282573699951) (608,2.4187889099121094) (2987,2.414395809173584) (296,2.4004955291748047) (2396,2.381462335586548) (2699,2.375912666320801) (527,2.2881054878234863)
83992: (2858,2.6800167560577393) (260,2.6203415393829346) (608,2.558431386947632)* (1270,2.4332103729248047) (1198,2.4268321990966797) (1197,2.4013864994049072) (480,2.3981423377990723)* (589,2.397000789642334) (296,2.388815402984619) (1617,2.3858540058135986) (2571,2.3813579082489014) (2396,2.372241973876953)* (1097,2.350587844848633) (527,2.3504836559295654) (858,2.348792314529419) (318,2.3479037284851074) (2028,2.346540927886963) (1265,2.333040237426758)* (110,2.3216392993927) (356,2.297391891479492)
79550: (260,2.0576229095458984) (1196,2.052159547805786) (2858,2.0417187213897705) (1210,2.037114143371582) (480,2.007608413696289) (2571,1.9626669883728027) (589,1.9597585201263428) (1580,1.9116747379302979) (2762,1.901946783065796) (2628,1.8889126777648926) (1197,1.8783785104751587) (110,1.8704571723937988)* (1198,1.8668529987335205) (608,1.8589301109313965) (2916,1.8554835319519043) (1097,1.829951286315918) (356,1.825657844543457) (2716,1.8044044971466064) (1240,1.803640365600586) (296,1.791894555091858)
81798: (1196,2.4525187015533447) (1210,2.450382709503174)* (2858,2.4139156341552734) (2571,2.3789350986480713) (589,2.3679561614990234) (1580,2.324084758758545) (1270,2.302391290664673) (2916,2.273483991622925) (2762,2.2634801864624023) (110,2.249321460723877) (2028,2.244537830352783) (1197,2.23236083984375) (1198,2.215355157852173) (593,2.1919772624969482) (1097,2.181321859359741) (1240,2.178485870361328) (2716,2.1769590377807617) (356,2.1766977310180664) (608,2.1602773666381836) (1,2.127903938293457)
83229: (1196,1.9672950506210327) (260,1.937920331954956) (2396,1.8556932210922241) (1193,1.8454127311706543) (1198,1.8394640684127808) (1210,1.8318517208099365) (1394,1.821239948272705) (2997,1.8169567584991455) (541,1.8041995763778687) (912,1.7917530536651611) (1197,1.7904576063156128) (1270,1.7850136756896973) (1225,1.7841660976409912) (1265,1.77940034866333) (1304,1.7793123722076416) (1230,1.7775447368621826) (2762,1.7765495777130127) (34,1.77499258518219) (50,1.767265796661377)* (1097,1.7555500268936157)
81598: (2858,2.7949180603027344)* (1210,2.666841983795166) (593,2.577385663986206) (1270,2.548306465148926)* (1198,2.534475088119507) (2762,2.520242691040039) (589,2.5179972648620605) (2571,2.502254009246826) (296,2.4886627197265625)* (2396,2.4688549041748047) (1097,2.4597620964050293) (2028,2.4580583572387695) (527,2.441887378692627) (318,2.43985652923584) (110,2.435938596725464) (1265,2.4338910579681396) (2997,2.3846049308776855) (1240,2.338953971862793)* (1,2.33685302734375) (50,2.3262696266174316)
84300: (1196,3.418233871459961) (1210,3.3746628761291504) (1270,3.1851396560668945) (1580,3.137542486190796)* (1197,3.106268882751465) (1198,3.101552963256836) (2028,3.0920491218566895)* (1097,3.0378146171569824) (1240,2.9832425117492676) (2716,2.967545986175537) (1265,2.9648637771606445)* (2396,2.9511728286743164) (1214,2.918971300125122) (1617,2.8811211585998535)* (3578,2.8805136680603027) (318,2.8723015785217285)* (457,2.8490285873413086)* (1200,2.829038143157959) (2997,2.828523635864258) (2987,2.80761981010437)
84192: (608,1.8550851345062256)* (1617,1.7383091449737549) (1196,1.7107495069503784) (593,1.7010480165481567) (260,1.68109929561615) (858,1.6767200231552124) (318,1.6742699146270752) (912,1.6680889129638672) (296,1.6549420356750488) (1225,1.6494581699371338) (1394,1.6479949951171875) (1252,1.6460990905761719) (2396,1.6407065391540527)* (1304,1.6365458965301514) (1247,1.6330957412719727) (1294,1.615214228630066) (541,1.6096837520599365) (1198,1.609151840209961) (1221,1.5944844484329224) (34,1.5903711318969727)
83441: (260,3.0836689472198486)* (1196,3.0752625465393066)* (2628,2.8734097480773926) (110,2.8122801780700684) (1197,2.799783706665039) (1198,2.7814102172851562)* (1097,2.735273838043213) (356,2.727332353591919) (1240,2.7210607528686523) (2716,2.7172625064849854) (1214,2.6503052711486816) (296,2.645003080368042) (2396,2.626006603240967) (1127,2.5835041999816895) (2987,2.548581123352051) (858,2.5401954650878906) (318,2.5372791290283203)* (1617,2.5319528579711914)* (377,2.516449451446533) (2997,2.508248805999756)*
84595: (1196,2.787792682647705) (260,2.760097026824951) (608,2.7589378356933594) (1210,2.6591796875) (593,2.6369707584381104) (1617,2.5745973587036133) (1198,2.572265625) (296,2.552149772644043) (527,2.524275302886963) (858,2.5231990814208984) (318,2.523000717163086) (589,2.4901461601257324) (1097,2.481703281402588) (1265,2.4750189781188965) (2571,2.46474552154541) (2997,2.457724094390869) (2028,2.4563984870910645) (541,2.429539918899536) (110,2.4246010780334473) (356,2.408543586730957)*
